Id,Symbol,Base,Quote,Active,Spot,Margin,Future,Leverage
NEAR-USDT,NEAR/USDT,NEAR,USDT,True,Spot,Margin,,1.0
NEO-USDT,NEO/USDT,NEO,USDT,True,Spot,Margin,,1.0
NFT-USDT,NFT/USDT,NFT,USDT,True,Spot,Margin,,1.0
NMR-USDT,NMR/USDT,NMR,USDT,True,Spot,,,1.0
NULS-USDT,NULS/USDT,NULS,USDT,True,Spot,,,1.0
NYM-USDT,NYM/USDT,NYM,USDT,True,Spot,Margin,,1.0
OKB-USDT,OKB/USDT,OKB,USDT,True,Spot,Margin,,1.0
OKT-USDT,OKT/USDT,OKT,USDT,True,Spot,,,1.0
OM-USDT,OM/USDT,OM,USDT,True,Spot,,,1.0
OMG-USDT,OMG/USDT,OMG,USDT,True,Spot,Margin,,1.0
OMI-USDT,OMI/USDT,OMI,USDT,True,Spot,,,1.0
ONE-USDT,ONE/USDT,ONE,USDT,True,Spot,,,1.0
ONT-USDT,ONT/USDT,ONT,USDT,True,Spot,Margin,,1.0
OP-USDT,OP/USDT,OP,USDT,True,Spot,Margin,,1.0
ORB-USDT,ORB/USDT,ORB,USDT,True,Spot,,,1.0
ORBS-USDT,ORBS/USDT,ORBS,USDT,True,Spot,,,1.0
ORS-USDT,ORS/USDT,ORS,USDT,True,Spot,,,1.0
OXT-USDT,OXT/USDT,OXT,USDT,True,Spot,,,1.0
PAY-USDT,PAY/USDT,PAY,USDT,True,Spot,,,1.0
PCI-USDT,PCI/USDT,PCI,USDT,True,Spot,,,1.0
PEOPLE-USDT,PEOPLE/USDT,PEOPLE,USDT,True,Spot,Margin,,1.0
PERP-USDT,PERP/USDT,PERP,USDT,True,Spot,Margin,,1.0
PHA-USDT,PHA/USDT,PHA,USDT,True,Spot,,,1.0
PICKLE-USDT,PICKLE/USDT,PICKLE,USDT,True,Spot,,,1.0
PLG-USDT,PLG/USDT,PLG,USDT,True,Spot,,,1.0
PNK-USDT,PNK/USDT,PNK,USDT,True,Spot,,,1.0
POLS-USDT,POLS/USDT,POLS,USDT,True,Spot,,,1.0
PPT-USDT,PPT/USDT,PPT,USDT,True,Spot,,,1.0
PROPS-USDT,PROPS/USDT,PROPS,USDT,True,Spot,,,1.0
PRQ-USDT,PRQ/USDT,PRQ,USDT,True,Spot,,,1.0
PST-USDT,PST/USDT,PST,USDT,True,Spot,,,1.0
PSTAKE-USDT,PSTAKE/USDT,PSTAKE,USDT,True,Spot,,,1.0
QTUM-USDT,QTUM/USDT,QTUM,USDT,True,Spot,Margin,,1.0
RACA-USDT,RACA/USDT,RACA,USDT,True,Spot,,,1.0
RAY-USDT,RAY/USDT,RAY,USDT,True,Spot,,,1.0
REN-USDT,REN/USDT,REN,USDT,True,Spot,Margin,,1.0
REP-USDT,REP/USDT,REP,USDT,True,Spot,,,1.0
REVV-USDT,REVV/USDT,REVV,USDT,True,Spot,,,1.0
RFUEL-USDT,RFUEL/USDT,RFUEL,USDT,True,Spot,,,1.0
RIO-USDT,RIO/USDT,RIO,USDT,True,Spot,,,1.0
RNT-USDT,RNT/USDT,RNT,USDT,True,Spot,,,1.0
ROAD-USDT,ROAD/USDT,ROAD,USDT,True,Spot,,,1.0
RON-USDT,RON/USDT,RON,USDT,True,Spot,,,1.0
RSR-USDT,RSR/USDT,RSR,USDT,True,Spot,Margin,,1.0
RSS3-USDT,RSS3/USDT,RSS3,USDT,True,Spot,Margin,,1.0
RVN-USDT,RVN/USDT,RVN,USDT,True,Spot,Margin,,1.0
SAITAMA-USDT,SAITAMA/USDT,SAITAMA,USDT,True,Spot,,,1.0
SAMO-USDT,SAMO/USDT,SAMO,USDT,True,Spot,,,1.0
SAND-USDT,SAND/USDT,SAND,USDT,True,Spot,Margin,,1.0
SC-USDT,SC/USDT,SC,USDT,True,Spot,Margin,,1.0
SD-USDT,SD/USDT,SD,USDT,True,Spot,,,1.0
SFG-USDT,SFG/USDT,SFG,USDT,True,Spot,,,1.0
SHIB-USDT,SHIB/USDT,SHIB,USDT,True,Spot,Margin,,1.0
SIS-USDT,SIS/USDT,SIS,USDT,True,Spot,,,1.0
SKL-USDT,SKL/USDT,SKL,USDT,True,Spot,Margin,,1.0
SLP-USDT,SLP/USDT,SLP,USDT,True,Spot,Margin,,1.0
SNT-USDT,SNT/USDT,SNT,USDT,True,Spot,Margin,,1.0
SNX-USDT,SNX/USDT,SNX,USDT,True,Spot,Margin,,1.0
SOC-USDT,SOC/USDT,SOC,USDT,True,Spot,,,1.0
SOL-USDT,SOL/USDT,SOL,USDT,True,Spot,Margin,,1.0
SOS-USDT,SOS/USDT,SOS,USDT,True,Spot,Margin,,1.0
SPELL-USDT,SPELL/USDT,SPELL,USDT,True,Spot,,,1.0
SRM-USDT,SRM/USDT,SRM,USDT,True,Spot,Margin,,1.0
STARL-USDT,STARL/USDT,STARL,USDT,True,Spot,Margin,,1.0
STORJ-USDT,STORJ/USDT,STORJ,USDT,True,Spot,Margin,,1.0
STRK-USDT,STRK/USDT,STRK,USDT,True,Spot,,,1.0
STX-USDT,STX/USDT,STX,USDT,True,Spot,,,1.0
SUN-USDT,SUN/USDT,SUN,USDT,True,Spot,,,1.0
SUSHI-USDT,SUSHI/USDT,SUSHI,USDT,True,Spot,Margin,,1.0
SWFTC-USDT,SWFTC/USDT,SWFTC,USDT,True,Spot,,,1.0
SWRV-USDT,SWRV/USDT,SWRV,USDT,True,Spot,Margin,,1.0
T-USDT,T/USDT,T,USDT,True,Spot,,,1.0
TAI-USDT,TAI/USDT,TAI,USDT,True,Spot,,,1.0
TAKI-USDT,TAKI/USDT,TAKI,USDT,True,Spot,,,1.0
TCT-USDT,TCT/USDT,TCT,USDT,True,Spot,,,1.0
THETA-USDT,THETA/USDT,THETA,USDT,True,Spot,Margin,,1.0
THG-USDT,THG/USDT,THG,USDT,True,Spot,,,1.0
TMTG-USDT,TMTG/USDT,TMTG,USDT,True,Spot,,,1.0
